about,address,brands,company_link,company_name,company_type,details,equip_categories,equipment,failed_fields,master_category,phone_number,specific_category,det_Annual Sales,det_No of Employees,det_Quality Certifications,det_Registrations,det_Year Founded,det_companyName,det_website,det_Additional Activities,det_Key Personnel,det_Primary Company Type,city,state,zip
,"Rancho Santa Margarita, CA 92688 | map",['Baritainer'],https://baritainer.com/,"Barrier Plastics, Inc.",Manufacturer,"ISO 9001:2000 certified manufacturer of USDA and FDA compliant containers. Types of containers include: dome & cylinder round bottles, D-Slant & F-style bottles, round industrial jugs, spray carafes & jerry cans. Recyclable & permeation-resistant containers made with HDPE and proprietary Quoral® barrier resins are available in various sizes, shapes & colors. Suitable for insecticides, herbicides, fungicides and other chemicals. Containers can be silk screened & labeled. Meets UN/US DOT/ IATA standards.","['Containers: USDA &amp; FDA Approved', 'Containers', 'Containers: Chemical', 'Containers: Chemical, DOT', 'Containers: High Density Polyethylene (HDPE)', 'Containers: ISO', 'Containers: Laboratory', 'Containers: Permeation-Resistant Plastic', 'Containers: Plastic', 'Containers: Polyethylene']",,['equipment'],agriculture,949-380-1611,USDA & FDA Approved Containers,Under $1 Mil,9-Jan,Not Available,Not Available,2008'},"Barrier Plastics, Inc.",https://baritainer.com/,Failed,"Kevin Callahan, Vice President",Manufacturer,Rancho Santa Margarita,CA,92688
,"Santa Fe Springs, CA 90670 | Locations","['Angleboard', 'Cortec', 'Elkay', 'Fiberwrap', 'Intertape', 'Nitto Denko', 'Pactiv', 'Permacel', 'Polycell', 'Roplast', 'Thilmany', 'VPcl']",http://www.4ips.biz/index.php,"Integrated Packaging Systems, Inc.",Distributor,"Distributor of containers including small, hinged-lid polyethylene, stackable, USDA & FDA approved containers. Materials include polyethylene & polypropylene. Containers are available in specified dimensions. Services include professional review & analysis of customer packaging requirements, samples of off-the-shelf & custom products, evaluation of current & proposed products & systems, customer inventory management & roll stock goods converted on site to meet custom requirements. Industries served include medical, agricultural, food processing, janitorial & general industrial packaging. Capabilities include same day local delivery & on time delivery. FDA-approved polyethylene materials used.","['Containers: USDA &amp; FDA Approved', 'Containers', 'Containers: Clear Plastic', 'Containers: Corrugated', 'Containers: Fibre', 'Containers: Foam', 'Containers: Hinged-Lid Polyethylene', 'Containers: Hinged-Lid Polypropylene', 'Containers: Molded Pulp', 'Containers: Nestable']","['Aluminum', 'Bagging Machinery', 'Bags', 'Bands', 'Bins', 'Blisters', 'Boxes', 'Cards', 'Cartons', 'Chipboard', 'Clamshells', 'Coatings', 'Conditioners', 'Construction Products', 'Consulting Services', 'Containers', 'Corrosion Resistant Devices', 'Corrosion Resistant Products', 'Covers', 'Crates']",[],agriculture,562-204-0401,USDA & FDA Approved Containers,Not Available,Not Available,Not Available,Not Available,Not Available'},"Integrated Packaging Systems, Inc.",http://www.4ips.biz/index.php,Failed,"Don Douglass, Sales Manager</li><li>Richard E. Pilkington, Jr., Sr. Account Executive</li><li>Mario Ramirez, V.P., Sales &amp; Marketing",Failed,Santa Fe Springs,CA,90670
,"Vernon, CA 90058 | map",,https://www.easypak.com/,EasyPak,Manufacturer,Thermoformed Plastic Food Packaging Containers Made Of APET For Clarity & Recyclability For Extended Product Shelf Life,"['Containers: USDA &amp; FDA Approved', 'Containers', 'Containers: Food', 'Containers: Plastic', 'Containers: Plastic, Returnable &amp; Reusable', 'Containers: Reclosable', 'Containers: Stackable', 'Food Packaging Containers', 'Packaging Containers']",,"['equipment', 'brands']",agriculture,855-297-7744,USDA & FDA Approved Containers,Not Available,200-499,Not Available,Not Available,1987'},EasyPak,https://www.easypak.com/,Custom Manufacturer,"Dave Furstoss, CEO</li><li>Ken Sherry, V.P., Sales &amp; Marketing</li><li>Alan Franz, COO</li><li>Andrew Marenco, CFO",Manufacturer,Vernon,CA,90058
,"Fresno, CA 93706 | Locations","['Habasit', 'Imperial Eastman', 'Thermoid']",https://www.cir.net/,California Industrial Rubber Co.,Distributor,"Custom manufacturer of tarps for catching frames. Capabilities include CNC machining, punching, tube bending, MIG and stick welding. Serves the agriculture, food processing, mining, construction and poultry industries.
Additional Agricultural Tarps details","['Tarps: Agricultural', 'Tarps', 'Tarps: Custom']","['Belts', 'COVID-19 Response', 'Extrusion Services', 'Hose', 'Plastics', 'Polycarbonate', 'Polyethylene', 'Rubber', 'Tier 2 Medical Mfg. Supplies, Materials, Components &amp; Services', 'Adapters', 'Adhesives', 'Aprons', 'Bands', 'Bearings', 'Bending Services', 'Blades', 'Boots', 'Buckles', 'Caps', 'Chains', 'Chutes', 'Clamps', 'Cleats', 'Clothing', 'Coatings', 'Connectors']",[],agriculture,559-268-7321,Agricultural Tarps,Not Available,Not Available,Not Available,Not Available,1958'},California Industrial Rubber Co.,https://www.cir.net/,Failed,Failed,Failed,Fresno,CA,93706
,"San Diego, CA 92154-7241 | map",,https://www.cifabrics.com/,California Industrial Fabrics,Manufacturer,"Manufacturer of polypropylene shade tarps for agricultural applications. Provides protection from sun and debris control. Specifications include 30% to 95% opacity, 2 to 5.7 ounce per square yard weight, 70 lbs. to 435 lbs. warp tensile strength, and 55 lbs. to 240 lbs. fill tensile strength. Various applications include agricultural, nursery, pet protection, walkways, public buildings, cafes, and playgrounds. Can also be used in applications requiring visual restriction.","['Tarps: Agricultural', 'Tarps', 'Tarps: Mesh', 'Tarps: Truck']",,"['equipment', 'brands']",agriculture,800-622-7169,Agricultural Tarps,$1 - 4.9 Mil,Oct-49,Not Available,Not Available,1976'},California Industrial Fabrics,https://www.cifabrics.com/,Failed,Failed,Failed,San Diego,CA,92154
,"Santa Cruz, CA 95062 | map",,https://larsensinc.com/,Larsens Inc.,Manufacturer,"Manufacturer & designer of mobile trailer canopies including custom tarpaulins used in agricultural applications. Canopy styles include standard fully enclosed, standard cantilevered, standard storefront, fully enclosed/rise above, cantilevered rise, fully enclosed horizontal projection, cantilevered horizontal projection, fully enclosed with tapered extension, fully enclosed with straight back rafter extension, fully enclosed with cab & rear extension, curbside & roadside with rear extensions & lift gate wrap & arched rafter canopies. Features include fabrics which reduce stretching & shrinking, construction sewn with mildew & UV ray resistant continuous filament bonded polyester thread, interior reinforcement of valances with underlay, reinforced rafter pockets, zippered vertical bolt rope on roof ends & shipping/storage bags outfitted with repair kit. Options include mesh & removable roof ends, solid doors, skirts, vinyl or solid windows, roof end vents & differing interior & exterior colors.","['Tarps: Agricultural', 'Tarps', 'Tarps: Custom', 'Tarps: Truck']",,"['equipment', 'brands']",agriculture,800-347-6817,Agricultural Tarps,$1 - 4.9 Mil,Oct-49,Not Available,Not Available,1972'},Larsens Inc.,https://larsensinc.com/,"Manufacturer, Service Company",Not Available,Custom Manufacturer,Santa Cruz,CA,95062
"Company Description by Thomasnet
Distributor of a wide range of tarps, canopies, and tents. Types of tarps include poly, vinyl, fire retardant, valance, canvas, clear tarps, and more. Canopy tents include enclosed canopy tent, party canopy, outdoorsman canopy, flat swapmeet canopy, pop up tents and more.","Paramount, CA 90723 | map",,https://www.ptmtarps.com/,PTM Tarps,Distributor,,"['Tarps: Agricultural', 'Tarps', 'Tarps: Canvas', 'Tarps: Custom', 'Tarps: Fire Retardant', 'Tarps: Insulated', 'Tarps: Mesh', 'Tarps: Military', 'Tarps: Polyethylene', 'Tarps: Truck']",,"['details', 'equipment', 'brands']",agriculture,562-408-1984,Agricultural Tarps,Not Available,Oct-49,Not Available,Not Available,1979'},PTM Tarps,https://www.ptmtarps.com/,Failed,Not Available,Distributor,Paramount,CA,90723
"Company Description by Thomasnet
Manufacturer Of Plastic Coatings","El Monte, CA 91733 | map",,http://www.flexfirmproducts.com,"Flexfirm Products, Inc.",Manufacturer,,"['Tarps: Agricultural', 'Tarps', 'Tarps: Custom', 'Tarps: Military']",,"['details', 'equipment', 'brands']",agriculture,626-448-7627,Agricultural Tarps,$1 - 4.9 Mil,Oct-49,Not Available,Not Available,1946'},"Flexfirm Products, Inc.",http://www.flexfirmproducts.com,Failed,Not Available,Manufacturer,El Monte,CA,91733
"Company Description by Thomasnet
Custom manufacturer of awnings for consumer, commercial, agricultural, and industrial applications. Products include fabrics, covers, seed cages, canvas products, frames and tarps.","Santa Rosa, CA 95407 | map",,http://www.redwoodempireawning.com/,Redwood Empire Awning Co.,Manufacturer,,"['Tarps: Agricultural', 'Tarps', 'Tarps: Canvas', 'Tarps: Custom']",,"['details', 'equipment', 'brands']",agriculture,707-588-9900,Agricultural Tarps,$1 - 4.9 Mil,Oct-49,Not Available,Not Available,1951'},Redwood Empire Awning Co.,http://www.redwoodempireawning.com/,Manufacturer,Not Available,Custom Manufacturer,Santa Rosa,CA,95407
,"Gardena, CA 90248-2027 | Locations","['3M', 'Acculab', 'Advantec', 'Air Systems', 'Allegro', 'AllSafe', 'Ansell', 'Barnstead', 'BBC Bircher', 'Bel-Art', 'Berkshire', 'Binder', 'BioFit', 'Biotech', 'Boekel', 'Caframo', 'Carbolite', 'Coors', 'Corning', 'Crews', 'Dalloz Safety', 'Denver', 'Dynalon Labware', 'Eagle Manufacturing', 'Eagle Picher', 'EMD', 'Fendall', 'First Safety', 'Gerson', 'Glas-Col']",https://www.spectrumchemical.com/OA_HTML/index.jsp?minisite=10020&amp;respid=22372&amp;language=US,Spectrum Chemical Mfg. Corp.,Manufacturer,"ISO 9001:2008 registered woman owned manufacturer & global distributor of chemicals, including analytical reference materials & standards, electronic ACS reagent, adhesive, agricultural, anodizing, cleaning, coating, cosmetics, & aroma chemicals. Applications include laboratories, research institutions, pilot plants, & manufacturing facilities.",,"['Absorbers', 'Acetaminophen', 'Additives', 'Adhesives', 'Aluminum', 'Ampules', 'Analyzers', 'Antibiotics', 'Antimicrobials', 'Antimony', 'Applicators', 'Aprons', 'Aspirin', 'Autoclave Parts', 'Autoclaves', 'Bacteriological Products', 'Bags', 'Balances', 'Bandages', 'Barometers']",['equip_categories'],agriculture,800-772-8786,Agricultural Chemicals,Not Available,Not Available,"<table><tbody><tr><td><a href=""/certifications/download.html?what=agriculture&amp;heading=13790209&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=20047567&amp;certid=430788"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=agriculture&amp;heading=13790209&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=20047567&amp;certid=430788"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://www.spectrumchemical.com/OA_HTML/About-Spectrum-Chemical_Quality-Commitment.jsp?minisite=10020&amp;respid=22372"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.spectrumchemical.com/OA_HTML/About-Spectrum-Chemical_Quality-Commitment.jsp?minisite=10020&amp;amp;respid=22372"" data-cert_id=""35684"" data-cert_name=""ISO/IEC 17025:2005"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""20047567"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""13790209"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""agriculture"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO/IEC 17025:2005</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO 9000 (Not Specified)</td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://www.spectrumchemical.com/OA_HTML/Chemicals_Fine-Chemicals-In-Bulk_Bulk-Chemicals_Food-Beverage-Ingredients.jsp?minisite=10020&amp;respid=22372"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.spectrumchemical.com/OA_HTML/Chemicals_Fine-Chemicals-In-Bulk_Bulk-Chemicals_Food-Beverage-Ingredients.jsp?minisite=10020&amp;amp;respid=22372"" data-cert_id=""306686"" data-cert_name=""ISO 9002 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""20047567"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""13790209"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""agriculture"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9002 (Not Specified)</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>FDA Registered</td></tr>\n</tbody></table>",1971'},Spectrum Chemical Mfg. Corp.,https://www.spectrumchemical.com/OA_HTML/index.jsp?minisite=10020&amp;respid=22372&amp;language=US,Failed,Failed,Failed,Gardena,CA,90248
,"Berkeley, CA 94710 | Locations","['Aldosperse', 'Amphoterge', 'AP SILANE', 'APS', 'Arcon', 'Ardex', 'Atomite', 'Bardac', 'Barimite', 'Beltmaster', 'CALMET', 'Camel-cal', 'Captor', 'Caschem', 'Cegesoft', 'Cerelose', 'Cetiol', 'Cognis', 'Colony', 'Comperlan', 'CreaFill', 'Cutina', 'Darco', 'Deriphat', 'Dicaflock', 'Dicalite', 'Emersol', 'Environ', 'Filtrez', 'Fungitrol']",http://www.pcchem.com,Pacific Coast Chemicals Co.,Distributor,"Distributor of agricultural chemicals. Products include antifoams, aqua ammonia, boric acid, caustic potash, caustic soda, citric acid, copper sulfate pentahydrate, cupric oxide, ferrous sulfate hyptahydrate, hydrogen peroxide, magnesium sulfate, malic acid, potassium carbonate, soda ash, sodium citrate, surfactants, urea & zinc oxide & sulfate. NACD verified. Kosher inspection service certified.",,"['Abrasive Compounds / Media', 'Activators', 'Additives', 'Adhesives', 'Agents', 'Aggregates', 'Aids', 'Aloe Vera', 'Anodes', 'Antimicrobials', 'Aprons', 'Ash', 'Asphalt', 'Bags', 'Balls', 'Baskets', 'Belts', 'Biocides', 'Bleaches', 'Bolts']",['equip_categories'],agriculture,800-348-1579,Agricultural Chemicals,Not Available,Not Available,Not Available,Not Available,1968'},Pacific Coast Chemicals Co.,http://www.pcchem.com,Failed,Failed,Failed,Berkeley,CA,94710
"Company Description by Thomasnet
Distributor of organic and inorganic chemicals and ingredients. Serving the food and beverage, personal care, human health, animal health and nutrition, agriculture, detergent, water, plastics, coatings, rubber, mining, metals, construction, textile, leather and lubricant markets.","Lakewood, CA 90712 | map",,https://redox.com/,Redox,Distributor,,,,"['details', 'equipment', 'equip_categories', 'brands']",agriculture,424-675-3200,Agricultural Chemicals,Not Available,500-999,Not Available,Not Available,1965'},Redox,https://redox.com/,Failed,Not Available,Distributor,Lakewood,CA,90712
